13.248.68.0/24     AMAZON / DYNAMODB
13.34.39.0/27      AMAZON
13.34.39.128/27    AMAZON
13.34.39.160/27    AMAZON
13.34.39.192/27    AMAZON
13.34.39.224/27    AMAZON
13.34.39.32/27     AMAZON
13.34.39.64/27     AMAZON
13.34.39.96/27     AMAZON
13.34.40.64/27     AMAZON
13.34.40.96/27     AMAZON
13.34.62.64/27     AMAZON
13.34.62.96/27     AMAZON
15.177.98.0/24     AMAZON / EC2
15.177.98.0/24     ROUTE53_HEALTHCHECKS_PUBLISHING
15.230.170.0/23    AMAZON
15.230.244.0/24    AMAZON
16.62.0.0/15       AMAZON / EC2
16.62.140.0/25     AMAZON
16.62.141.0/24     AMAZON
16.62.54.0/26      ROUTE53_RESOLVER
16.62.54.64/26     ROUTE53_RESOLVER
16.62.56.224/28    S3
16.62.56.240/28    S3
16.62.7.192/26     ROUTE53_RESOLVER
16.62.70.0/23      AMAZON
3.2.43.64/26       AMAZON / EC2
3.5.52.0/22        AMAZON / S3 / EC2
35.71.121.0/24     AMAZON / DYNAMODB / EC2
51.96.0.0/14       AMAZON
52.94.250.0/28     AMAZON / EC2
52.95.139.0/24     AMAZON / S3
52.95.140.0/23     AMAZON / S3
54.239.1.208/28    AMAZON
70.232.112.0/21    AMAZON
70.232.120.0/22    AMAZON
70.232.96.0/20     AMAZON
99.151.80.0/21     AMAZON / EC2
