13.248.65.0/24     AMAZON / DYNAMODB
13.34.38.0/27      AMAZON
13.34.38.128/27    AMAZON
13.34.38.160/27    AMAZON
13.34.38.32/27     AMAZON
13.34.38.64/27     AMAZON
13.34.38.96/27     AMAZON
15.177.97.0/24     AMAZON / EC2 / ROUTE53_HEALTHCHECKS_PUBLISHING
18.100.0.0/15      AMAZON / EC2
18.100.160.0/24    AMAZON
18.100.64.128/26   ROUTE53_RESOLVER
18.100.64.192/26   ROUTE53_RESOLVER
18.100.65.0/26     ROUTE53_RESOLVER
18.100.71.128/25   AMAZON
18.100.74.0/23     AMAZON
3.2.43.0/26        AMAZON / EC2
3.5.32.0/22        AMAZON / S3 / EC2
35.71.120.0/24     AMAZON / DYNAMODB / EC2
51.92.0.0/14       AMAZON
52.94.249.240/28   AMAZON / EC2
52.95.136.0/23     AMAZON / S3
52.95.138.0/24     AMAZON / S3
54.239.1.192/28    AMAZON
99.151.64.0/21     AMAZON / EC2
99.77.28.0/22      AMAZON
99.77.32.0/20      AMAZON
99.77.48.0/21      AMAZON
99.77.55.0/32      EC2
99.77.55.1/32      EC2
99.77.55.12/32     EC2
99.77.55.13/32     EC2
99.77.55.14/32     EC2
99.77.55.15/32     EC2
99.77.55.2/32      EC2
99.77.55.24/32     EC2
99.77.55.25/32     EC2
99.77.55.253/32    EC2
99.77.55.254/32    EC2
99.77.55.255/32    EC2
99.77.55.26/32     EC2
99.77.55.27/32     EC2
99.77.55.3/32      EC2
