13.248.72.0/24     AMAZON / DYNAMODB
13.34.64.192/27    AMAZON
13.34.64.224/27    AMAZON
13.34.65.0/27      AMAZON
13.34.65.128/27    AMAZON
13.34.65.160/27    AMAZON
13.34.65.192/27    AMAZON
13.34.65.224/27    AMAZON
13.34.65.32/27     AMAZON
13.34.65.64/27     AMAZON
13.34.65.96/27     AMAZON
15.177.99.0/24     AMAZON / EC2 / ROUTE53_HEALTHCHECKS_PUBLISHING
15.190.0.0/22      AMAZON
15.190.16.0/20     AMAZON
15.230.62.0/24     AMAZON
15.248.48.0/21     AMAZON
15.251.0.26/32     AMAZON
15.251.0.27/32     AMAZON
15.251.0.28/32     AMAZON
15.251.0.29/32     AMAZON
16.12.12.0/23      AMAZON / S3
16.12.14.0/24      AMAZON / S3
3.2.42.0/26        AMAZON / EC2
3.5.56.0/22        AMAZON / S3 / EC2
51.16.0.0/15       AMAZON / EC2
51.84.0.0/14       AMAZON
52.93.32.184/32    AMAZON
52.94.250.32/28    AMAZON / EC2
54.239.1.240/28    AMAZON
99.151.152.0/21    AMAZON / EC2
