13.248.66.0/24     AMAZON / DYNAMODB
13.34.34.128/27    AMAZON
13.34.34.160/27    AMAZON
13.34.35.0/27      AMAZON
13.34.35.128/27    AMAZON
13.34.35.160/27    AMAZON
13.34.35.32/27     AMAZON
13.34.35.64/27     AMAZON
13.34.35.96/27     AMAZON
13.34.59.0/27      AMAZON
13.34.59.32/27     AMAZON
15.177.93.0/24     AMAZON / EC2 / ROUTE53_HEALTHCHECKS_PUBLISHING
15.230.177.0/31    AMAZON
15.230.177.2/31    AMAZON
15.230.177.4/32    AMAZON
15.230.219.0/24    AMAZON
3.2.34.192/26      AMAZON / EC2
3.28.0.0/15        AMAZON / EC2
3.28.211.128/25    AMAZON
3.28.229.0/24      AMAZON
3.28.63.128/26     ROUTE53_RESOLVER
3.28.63.192/26     ROUTE53_RESOLVER
3.28.65.0/26       ROUTE53_RESOLVER
3.28.70.112/28     S3
3.28.70.48/28      S3
3.28.70.96/28      S3
3.28.72.0/23       AMAZON
3.5.48.0/22        AMAZON / S3 / EC2
35.71.104.0/24     AMAZON / DYNAMODB / EC2
51.112.0.0/15      AMAZON
52.94.249.224/28   AMAZON / EC2
52.95.187.0/24     AMAZON / S3
52.95.188.0/23     AMAZON / S3
54.239.1.176/28    AMAZON
99.150.120.0/21    AMAZON / EC2
99.77.0.0/20       AMAZON
99.77.16.0/21      AMAZON
99.77.24.0/22      AMAZON
