13.248.106.0/24    AMAZON / GLOBALACCELERATOR
13.34.15.128/27    AMAZON
13.34.15.160/27    AMAZON
13.34.20.0/27      AMAZON
13.34.20.32/27     AMAZON
13.34.20.64/27     AMAZON
13.34.20.96/27     AMAZON
13.34.78.192/27    AMAZON
13.34.78.224/27    AMAZON
13.34.82.0/27      AMAZON
13.34.82.32/27     AMAZON
142.4.160.168/29   AMAZON / EC2
15.177.87.0/24     AMAZON / EC2 / ROUTE53_HEALTHCHECKS_PUBLISHING
15.184.0.0/16      AMAZON / EC2
15.184.1.128/26    AMAZON
15.184.1.64/26     AMAZON
15.184.125.0/26    ROUTE53_RESOLVER
15.184.125.128/26  ROUTE53_RESOLVER
15.184.125.224/29  EBS
15.184.125.232/30  EBS
15.184.125.240/28  S3
15.184.125.64/26   ROUTE53_RESOLVER
15.184.153.0/28    S3
15.184.184.96/29   CODEBUILD
15.184.70.200/29   ROUTE53_RESOLVER
15.184.70.224/29   ROUTE53_RESOLVER
15.185.0.0/16      AMAZON / EC2
15.185.141.160/27  CLOUD9
15.185.141.192/26  AMAZON
15.185.144.0/23    API_GATEWAY
15.185.245.0/26    AMAZON
15.185.251.0/26    AMAZON
15.185.33.192/26   AMAZON
15.185.33.32/27    ROUTE53_RESOLVER
15.185.33.64/27    ROUTE53_RESOLVER
15.185.33.96/27    ROUTE53_RESOLVER
15.185.86.0/23     AMAZON
15.185.91.32/27    CLOUD9
15.220.146.0/23    AMAZON / EC2
15.220.160.0/21    AMAZON / EC2
15.230.174.0/24    AMAZON
15.230.198.0/24    AMAZON
15.230.69.128/26   AMAZON
15.230.69.192/26   AMAZON
15.230.69.64/26    AMAZON
15.248.20.0/22     AMAZON
150.222.7.0/24     AMAZON
157.175.0.0/16     AMAZON / EC2
157.175.102.128/27 ROUTE53_RESOLVER
157.175.102.160/27 ROUTE53_RESOLVER
157.175.102.96/27  ROUTE53_RESOLVER
157.175.140.0/23   API_GATEWAY
157.175.255.0/24   API_GATEWAY
157.241.0.0/16     AMAZON / EC2
157.241.2.0/23     API_GATEWAY
157.241.25.0/24    API_GATEWAY
16.24.0.0/16       AMAZON / EC2
16.25.0.0/16       AMAZON
3.2.32.128/26      AMAZON / EC2
3.5.220.0/22       AMAZON / S3 / EC2
35.71.99.0/24      AMAZON / DYNAMODB / EC2
52.119.249.0/24    AMAZON / DYNAMODB
52.93.69.0/24      AMAZON
52.94.249.160/28   AMAZON / EC2
52.95.172.0/23     AMAZON / S3
52.95.174.0/24     AMAZON / S3
52.95.228.0/24     AMAZON / EC2
54.239.1.112/28    AMAZON
69.107.7.128/29    AMAZON
69.107.7.136/29    AMAZON / EC2
99.77.236.0/24     AMAZON / CHIME_VOICECONNECTOR / EC2
99.78.220.0/22     AMAZON
99.82.128.0/20     AMAZON
99.82.144.0/21     AMAZON
99.82.152.0/22     AMAZON
