108.175.52.0/22    AMAZON / S3
108.175.60.0/22    AMAZON / S3 / EC2
157.152.0.0/16     AMAZON
18.252.0.0/16      AMAZON / EC2
18.252.126.0/25    AMAZON
18.252.145.156/30  EBS
18.252.145.160/29  EBS
18.252.145.168/29  CODEBUILD
18.252.145.192/28  S3
18.252.145.208/28  S3
18.252.165.0/26    AMAZON
18.252.165.140/30  KINESIS_VIDEO_STREAMS
18.252.4.0/30      EC2_INSTANCE_CONNECT
18.252.4.16/29     CODEBUILD
18.252.56.0/23     API_GATEWAY
18.252.58.0/23     AMAZON
18.253.0.0/16      AMAZON / EC2
18.253.186.0/24    API_GATEWAY
18.254.0.0/16      AMAZON / EC2
18.254.23.64/26    AMAZON
18.254.61.128/26   AMAZON
18.254.68.0/23     API_GATEWAY
3.2.39.64/26       AMAZON / EC2
3.4.24.0/21        AMAZON / EC2
35.71.115.0/24     AMAZON / DYNAMODB / EC2
52.46.96.0/19      AMAZON
52.94.22.0/24      AMAZON / DYNAMODB
52.94.249.112/28   AMAZON / EC2
54.239.1.64/28     AMAZON
99.151.96.0/21     AMAZON / EC2
99.77.183.0/24     AMAZON / EC2
