108.175.48.0/22    AMAZON / S3
108.175.56.0/22    AMAZON / S3 / EC2
15.200.0.0/16      AMAZON / EC2
15.200.141.0/25    API_GATEWAY
15.200.150.0/23    AMAZON
15.200.176.128/28  S3
15.200.176.192/26  AMAZON
15.200.28.240/28   S3
15.200.28.80/30    EC2_INSTANCE_CONNECT
15.200.28.88/29    CODEBUILD
15.205.0.0/16      AMAZON / EC2
15.205.82.0/23     API_GATEWAY
15.205.84.0/23     API_GATEWAY
160.1.0.0/16       AMAZON / EC2
160.1.128.0/24     API_GATEWAY
205.251.236.0/22   AMAZON
3.2.39.128/26      AMAZON / EC2
3.30.0.0/15        AMAZON / EC2
3.30.129.0/24      WORKSPACES_GATEWAYS
3.30.130.0/23      WORKSPACES_GATEWAYS
3.30.204.0/24      API_GATEWAY
3.30.40.84/30      KINESIS_VIDEO_STREAMS
3.30.98.128/26     AMAZON
3.30.98.64/26      AMAZON
3.32.0.0/16        AMAZON / EC2
3.32.139.0/24      WORKSPACES_GATEWAYS
3.32.190.0/25      AMAZON
3.32.190.244/30    EBS
3.32.190.248/29    EBS
3.4.16.0/21        AMAZON / EC2
35.71.116.0/24     AMAZON / DYNAMODB / EC2
52.119.208.0/23    AMAZON
52.222.0.0/17      AMAZON / EC2
52.46.176.0/22     AMAZON
52.46.224.0/20     AMAZON
52.61.0.0/16       AMAZON / EC2
52.61.193.0/24     WORKSPACES_GATEWAYS
52.61.40.104/29    CODEBUILD
52.94.198.32/28    AMAZON
52.94.248.224/28   AMAZON / EC2
52.94.9.0/24       AMAZON / DYNAMODB
52.95.100.0/22     AMAZON
54.239.0.128/28    AMAZON
75.79.0.0/16       AMAZON
76.223.168.0/24    AMAZON
96.127.0.0/17      AMAZON / EC2
99.77.184.0/24     AMAZON / EC2
